,Links,Name,Rating,Cuisines,Reviews,Avg waiting time,Cost / Person
60,https://www.zomato.com/nagpur/annapurna-sweets-namkeen-lakadganj/order,Annapurna Sweets & Namkeen,4.3,"['Mithai', ' Street Food', ' Bakery']",140,23,150
61,https://www.zomato.com/nagpur/i-cool-cafe-seminary-hills/order,I Cool Cafe,3.9,"['Pizza', ' Fast Food', ' Street Food', ' Beverages', ' Sandwich', ' Burger']",587,42,100
62,https://www.zomato.com/nagpur/hungama-street-cafe-dharampeth/order,Hungama Street Cafe,3.5,"['Fast Food', ' Sandwich', ' Chinese', ' Beverages']",604,40,150
63,https://www.zomato.com/nagpur/cafe-coffee-day-1-civil-lines/order,Cafe Coffee Day,4.1,"['Coffee', ' Beverages', ' Cafe', ' Sandwich', ' Fast Food', ' Desserts']",299,31,200
64,https://www.zomato.com/nagpur/hi-pepper-sadar/order,Hi Pepper,4.0,"['Pizza', ' Burger', ' Sandwich', ' Fast Food', ' Beverages']",1119,32,100
65,https://www.zomato.com/nagpur/kwality-walls-frozen-dessert-and-ice-cream-shop-1-gandhibagh/order,Kwality Wall's Frozen Dessert and Ice Cream Shop,4.4,"['Desserts', ' Ice Cream']",0,23,100
66,https://www.zomato.com/nagpur/shivshakti-ice-cream-dharampeth/order,Shivshakti Ice Cream,4.1,"['Desserts', ' Ice Cream']",1151,34,100
67,https://www.zomato.com/nagpur/new-thali-king-pratap-nagar/order,New Thali King,4.0,"['North Indian', ' Chinese', ' Maharashtrian', ' Biryani']",12.1K,38,200
68,https://www.zomato.com/nagpur/kareems-chaoni/order,Kareem's,4.0,"['North Indian', ' Mughlai', ' Biryani', ' Desserts']",5192,31,350
69,https://www.zomato.com/nagpur/shri-shanti-bhavan-ramdaspeth/order,Shri Shanti Bhavan,4.0,"['South Indian', ' Street Food']",1395,25,100
70,https://www.zomato.com/nagpur/the-chocolate-room-ravi-nagar/order,The Chocolate Room,4.1,"['Cafe', ' Beverages', ' Italian', ' Desserts', ' Pizza', ' Continental', ' Sandwich']",426,38,150
71,https://www.zomato.com/nagpur/keventers-milkshakes-ice-creams-dharampeth/order,Keventers - Milkshakes & Ice Creams,4.1,"['Beverages', ' Desserts', ' Ice Cream']",2550,29,200
72,https://www.zomato.com/nagpur/maharaj-bag-lawn-dharampeth/order,Maharaj Bag Lawn,3.9,"['North Indian', ' Chinese', ' Continental']",3132,39,200
73,https://www.zomato.com/nagpur/taste-of-thali-pratap-nagar/order,Taste Of Thali,4.0,"['North Indian', ' Biryani', ' Maharashtrian']",489,38,200
74,https://www.zomato.com/nagpur/punjabi-chaap-corner-sadar/order,Punjabi Chaap Corner,4.1,"['North Indian', ' Chinese', ' Rolls']",391,38,200
75,https://www.zomato.com/nagpur/chai-maska-dharampeth/order,Chai & Maska,3.7,"['Fast Food', ' Tea', ' Beverages']",126,29,100
76,https://www.zomato.com/nagpur/the-green-house-health-cafe-gokulpeth/order,The Green House - Health Cafe,3.6,"['Healthy Food', ' Sandwich', ' Beverages']",221,40,100
77,https://www.zomato.com/nagpur/delice-civil-lines/order,Delice,4.2,['Bakery'],253,28,300
78,https://www.zomato.com/nagpur/vanakam-gandhibagh/order,Vanakam,3.8,"['Chinese', ' South Indian', ' North Indian', ' Fast Food', ' Beverages']",1252,29,50
79,https://www.zomato.com/nagpur/bangali-babu-sandwich-1-gandhibagh/order,Bangali Babu Sandwich,3.8,"['Fast Food', ' Sandwich', ' Pizza']",4916,44,100
80,https://www.zomato.com/nagpur/taste-of-thali-pratap-nagar/order,Taste Of Thali,4.0,"['North Indian', ' Biryani', ' Maharashtrian']",489,38,200
81,https://www.zomato.com/nagpur/punjabi-chaap-corner-sadar/order,Punjabi Chaap Corner,4.1,"['North Indian', ' Chinese', ' Rolls']",391,38,200
82,https://www.zomato.com/nagpur/chai-maska-dharampeth/order,Chai & Maska,3.7,"['Fast Food', ' Tea', ' Beverages']",126,29,100
83,https://www.zomato.com/nagpur/the-green-house-health-cafe-gokulpeth/order,The Green House - Health Cafe,3.6,"['Healthy Food', ' Sandwich', ' Beverages']",221,40,100
84,https://www.zomato.com/nagpur/delice-civil-lines/order,Delice,4.2,['Bakery'],253,28,300
85,https://www.zomato.com/nagpur/vanakam-gandhibagh/order,Vanakam,3.8,"['Chinese', ' South Indian', ' North Indian', ' Fast Food', ' Beverages']",1252,29,50
